question,answer,A,B,C,D
"If I tell you Iâm afraid of apple orchards, will you tell me to ______________?",grow a pear,grow a pair,grow avocados,grow a pear,quit while your a  head
If you step onto a plane and recognize a friend of yours named Jack dont yell out ______!,Hi Jack,Hi Jack,"Jack, whats in your backpack",Man you look heavier than ever,"On, no"
"When asked by a passenger how high he would get, the pilot replied,",I dont do drugs.,Higher than the highest mountain,Whats it to you?,higher than the ground,I dont do drugs.
"The airlines have become so cash-strapped, they charged me for ___________.",my emotional baggage,looking like a nuisance,being overweight,my emotional baggage,my hat
Dont expect to eat something fancy when youre flying ___________________.,because its plane food,because its plane food,unless you bring your own food,unless youre a good tipper,because its plain food
If you get sick at the airport it could be a _____________.,terminal illness,disaster for the folks around you,sign of a fatal disease,real upsetting experience,terminal illness
Traveling on a flying carpet is a ______________.,rugged experience,rugged experience,tuff experience,blast but dont lean over,fairy tale of course
During his air test a young pilot flew through a rainbow. (Next sentence please),He passed with flying colors.,"He thought he was in heaven, lost control of his plane and crashed.","Guess what, he found the pot of gold.",We never saw him again.,He passed with flying colors.
One of the first things youll notice at the Beijing airport is __________________.,a whole lot of Chinese checkers,a strange looking man in a clown suit pointing you to McDonalds,no lines because they are prohibited by law,a whole lot of Chinese checkers,a big sign that says	æ­¡è¿  (welcome in Chinese traditional) or    æ¬¢è¿ (in Chinese simplified)
An astronaut broke the law of gravity and got ______________ .,a suspended sentence,a suspended sentence,hung up in the air,some floating debris up his nose,strung up by his toes
The little green men told me it was the Dog Star. I told them ______________ .,they cant be Sirius,they cant be Sirius,not one more martini,it sure as hell looks like a cat from here,they cant be serious
Did you hear about the pilot who always had work? (Next sentence please),He was great at landing a job.,He was great at landing a job.,His arrival always caused a stir.,He never asked for any pay.,He was always stoned and flying high.
An astronaut who fails on a weightlessness experiment must be ______________.,aware of the gravity of the situation,hospitalized immediately with broken bones,counselled about the enormity of his problems,drawn and quartered,aware of the gravity of the situation
The cost of the space program is____________ .,astronomical,astronomical,through the ceiling,astrophysical,cosmological
"If the Taiwanese director doesnât win an Oscar, hell ________________.",be one Ang Lee fellow,never direct another film,really be angry,be one Ang Lee fellow,probably move to Detroit
"When I learned what the gun lobby was doing, I ___________ !",went ballistic,hitched up my holster,left the lobby,shot my dog,went ballistic
I once knew a guy who had fish and chips every day for a year. (Please add the next sentence).,His stomach took a battering.,He died of scurvy.,His stomach took a battering.,His face looked like a fish and he had a chip on his shoulder.,He smelled of garlic for the next 5 years.
"When the Pirates of the Caribbean ordered my death, my mind went _________. I knew I was in _____  ______.",plank - Depp ship,plank - Depp ship,blank - deep dodo,blank - Depp ship,plank - deep dodo
The painter was hospitalized due to ______________.,too many strokes,too many strokes,too many toxic fumes,extreme wall staring,a big splashing mistake
"Its raining cats and dogs. Well, as long as it doesnt __________________.",reindeer,reindeer,snow,get my suit wet,break my umbrella
"She wanted the large estate quite badly but, she dared not ___________________.",mansion it to her frugal husband,mansion it to her frugal husband,mention it to her lover,mansion it to her lover,mention it to her frugal husband
"Since I went to work in the plumbing department of the home center, I have developed a _______________.",multi-fauceted personality disorder,multi-faceted personality disorder,stinking personality,complete dislike for toilets,multi-fauceted personality disorder
Any country that obeys seat belt laws is an object of my _____________.,fasten nation,fasten nation,fascination,strapping body,choosing planes
"Its not that the man did not know how to juggle, he just didnt have ______________.",the balls to do it,the proper equipment,the balls to do it,enough bowling pins,the courage to face an audience
"During the first Academy Awards, Warner Brothers got an Honorary Award for The Jazz Singer. What individual got an Honorary Award as well?",Charlie Chaplin,Charlie Chaplin,Mary Pickford,Buster Keaton,Emil Jannings
At the 1st Academy Awards ceremony this film was nominated for the most Academy Awards (5) and won only three.,Seventh Heaven,Wings,Seventh Heaven,The Last Command,Sunrise: A Song of Two Humans
During this Academy Award ceremony no movie won more than one Oscar.,2nd,2nd,1st,4th,3rd
What is the first film to win the Best Director Oscar without being nominated for Best Picture?,The Divine Lady,The Patriot,The Divine Lady,The Divorcee,The Big House
What is NOT true about the 2nd Academy Awards?,"Elliot Clawson was nominated for Best Writing of 3 pictures â The Cop,The Leatherneck, Sal of Singapore.",The number of categories was reduced from twelve to seven.,It was the only occasion where there were no official nominees.,"Elliot Clawson was nominated for Best Writing of 3 pictures â The Cop,The Leatherneck, Sal of Singapore.",It was the first ceremony for which the winners were not announced in advance.
This category was introduced during the 3rd Academy Awards and was the first new one since the awards began.,Best Sound Recording,Best Assistant Director,Best Sound Recording,Best Engineering Effects,Best Live Action Short Film
This picture was the first western to win the Academy Award for Best Picture.,Cimarron,Cimarron,In Old Arizona,The Noose,The Virginian
Who was the first child star to receive a Best Actor/Actress nomination?,Jackie Cooper,Jackie Coogan,Shirley Temple,Mickey Rooney,Jackie Cooper
"What is the first film to be nominated only for the Best Picture Oscar, which it won?",Grand Hotel,The Front Page,Grand Hotel,The Champ,Dr. Jekyll and Mr. Hyde
The 5th Academy Awards saw the introduction of 3 new categories. What was NOT one of them?,"Best Live Action Short Film, Color","Best Live Action Short Film, Color","Best Live Action Short Film, Novelty","Best Live Action Short Film, Comedy",Best Animated Short Film
These were the first two movies to receive both Best Actor Oscar and Best Actress Oscar nominations.,Cimarron; A Free Soul,Bulldog Drummond ; The Divorcee,Cimarron; A Free Soul,Shanghai Express; Bad Girl,The Patriot; The Divine Lady
What does the word Argo refer to in Ben Afflecks dramatic thriller Argo?,a fake movie production,a secret society,a dangerous drug,a team of CIA operatives,a fake movie production
"In the Oscar-winning movie Life of Pi, Pi was named by his father after which of the following?",a swimming pool in France,a traditional Indian dish,the mathematical symbol Ï,a river in India,a swimming pool in France
On what period of Abraham Lincolns life does Steven Spielbergs 2012 movie Lincoln focus?,the final four months of his life,the final four months of his life,the first years of his presidency,his presidential nomination and campaign,his early years
"Jennifer Lawrence, who won the Academy Award for Best Actress for her role in Silver Linings Playbook, achieved international recognition as the heroine Katniss Everdeen in this movie.",The Hunger Games,Avatar,Twilight,Black Swan,The Hunger Games
The 2012 Academy Award-winning musical drama Les MisÃ©rables was based on a novel by this French author.,Victor Hugo,HonorÃ© de Balzac,Stendhal,Alexandre Dumas,Victor Hugo
In what country is the computer-animated fantasy film Brave set?,Scotland,Iceland,Germany,Scotland,the USA
Who performed the song Skyfall which won the Academy Award for Best Original Song at the 85th Academy Awards?,Adele,Adele,Michael BublÃ©,Kelly Clarkson,Rihanna
Which of these Acacemy Award-winning movies is NOT correctly matched with its director?,Django Unchained - Joe Wright,Silver Linings Playbook - David O. Russell,Life of Pi - Ang Lee,Django Unchained - Joe Wright,Lincoln - Steven Spielberg
What actress portrays Anna Karenina in the self-titled 2012 romantic drama film?,Keira Knightley,Anne Hathaway,Natalie Portman,Keira Knightley,Jennifer Lawrence
"This drama film, starring Jean-Louis Trintignant, Emmanuelle Riva and Isabelle Huppert, won the Best Foreign Language Oscar at the 85th Academy Awards.",Amour,Amour,A Royal Affair,Kon-Tiki,Monsieur Lazhar
Which movie title was translated as Held by Wind in Montana in Japan?,Horse Whisperer,Horse Whisperer,The Winds of Autumn,Man from Gods Country,Badlands
What movie title was translated in Japan as I Love My Dad The Best In The World?,Jersey Girl,Jersey Girl,Jack Everyman,My Year Without Sex,Before Sunset
Iâm Drunk and Youâre a Prostitute is the Japanese title of this movie.,Leaving Las Vegas,The Libertine,The Lost Weekend,Barfly,Leaving Las Vegas
"In the Philippines, they pull no punches with the title Because Sheâs Ugly. What is the original title of the movie?",Never Been Kissed,Ben  Arthur,Never Been Kissed,Bloodeaters,Elephant Man
What movie title was translated as Rain of Falafel in Israel?,Cloudy with a Chance of Meatballs,He Died with a Felafel in His Hand,Inception,Priest,Cloudy with a Chance of Meatballs
The title of what movie was translated as Love in the Skies in Israel?,Top Gun,Forgetting Sarah Marshall,Top Gun,Father Goose,Passenger
What movie title was translated as Super Horny in Israel and Superguys Who Play Hooky in Portugal?,Superbad,Q,Superbad,Hysteria,Drive Thru
What movie title was translated as The Spy Who Behaved Very Nicely Around Me in Malaysia?,Austin Powers: The Spy Who Shagged Me,From Russia with Love,Our Man Flint,Johnny English,Austin Powers: The Spy Who Shagged Me
What film was called Super Speeding Cleaning Evil Accounts in Thailand?,Drive Angry,The Ninth Gate,Night of the Demon,Evil Ambitions,Drive Angry
Hum Tum is the Bollywood version of this Hollywood film.,When Harry Met Sally...,Sunshine State,When Harry Met Sally...,High Society,Separate Tables
The Sunny Classroom is the Japanese title of this American movie.,Mr. Hollandâs Opus,Music of the Heart,Nowhere Boy,Mr. Hollandâs Opus,Music Within
I got a small ticket for speeding.  __________________.,Its fine with me.,Its fine with me.,I dont pay them anyways.,big deal,I put up a big fuss.
"There are pigs that sound like horses, in _______________.",my neigh-boar hood,my house using the toilet,my garden snouting around,my neighbor hood,my neigh-boar hood
Some mathematicians are reluctant to _________________.,cosine a loan,cosine a loan,count their change,speak in tongues,cosign a loan
Every calendars days are ___________.,numbered,numbered,reminders of the next day,on a calendar,printed
A cartoonist was found dead in his home. (Next sentence please),Details are sketchy.,A crayon was the weapon of choice.,The police want to know what happens at the end of the current cartoon.,He should have been working in an office.,Details are sketchy.
I fed some lemon to my cat and now I have a __________.,sour puss,yen for limes,problem with sour fruit,cat with allergies,sour puss
Santas helpers are ________________.,subordinate clauses,subordinate clauses,his reindeer,little strange looking elves,useless after a New Years Eve party
Did you see the movie about the hot dog?,It was an Oscar Wiener.,It was a tasty treat.,It was an Oscar Wiener.,It was an Oscar Winner.,It was too long.
Whatâs a real estate lawyerâs least favourite song?,Lien On Me,Lean On Me,Take the Money and Run,Will Your Lawyer Talk to God For You?,Lien On Me
"âIf there are no stupid questions, then what kind of questions do stupid people ask? Do they get smart just in time to ask questions?â Which comic book creator created this witty remark?",Scott Adams,Will Eisner,Frank Miller,Scott Adams,Brian Bolland
"âIf you simplify your English, you are freed from the worst follies of orthodoxy. You cannot speak any of the necessary dialects, and when you make a stupid remark its stupidity will be obvious, even to yourself.â Which novelist said this?",George Orwell,F. Scott Fitzgerald,George Orwell,Evelyn Waugh,Graham Greene
"Which bozo made both of these quotes: âIf youre going to get mad at me everytime I do something stupid then I guess Ill have to stop doing stupid things!â and Stupid, eh? Yeah, Im stupid. Stupid like a fox!â.?",Homer Simpson from The Simpsons,Peter Griffin from Family Guy,Woody Boyd from Cheers,Joey Tribbiani from Friends,Homer Simpson from The Simpsons
"âCreating a cultural icon out of someone who goes, Im stupid, isnt it cute? makes me want to throw daggers. I want to say to them, My grandma did not fight for what she fought for just so you can start telling women its fun to be stupid. Saying that to young women, little girls, my daughter? Its not OK.â Which actress owns this one?",Reese Witherspoon,Jessica Simpson,Paris Hilton,Reese Witherspoon,Megan Fox
âBeware your inner idiot. Success and stupidity dont mix. Your bosss stupidity is only half the problem. Your own stupidity can easily complete the disaster.â Which government official said this?,J. Edgar Hoover (Director of the FBI),Norman Thomas (US Socialist Presidential Candidate),Winston Churchill (Prime Minister of Britain),Clarence Thomas (Supreme Court Justice),J. Edgar Hoover (Director of the FBI)
âI refuse to slap some stupid words on the stupid paper just so we have a stupid song finished.â Which singer/songwriter came up with the triple stupid?,Suzanne Vega,Nelly Furtado,Amy Winehouse,Suzanne Vega,Missy Elliott
"Which comedian do you think came up with these remarks: âJust think of how stupid the average person is, and then realize half of them are even stupider!â and âThink of how stupid the average person is, and realize half of them are stupider than that.â.",George Carlin,Jeff Foxworthy,Jay Leno,George Carlin,Don Rickles
"What philosopher said âMen are born ignorant, not stupid. They are made stupid by education.â?",Bertrand Russell,Henry David Thoreau,Bertrand Russell,John Stuart Mill,Noam Chomsky
"Who said, âSome people think having large breasts makes a woman stupid. Actually, its quite the opposite: A woman having large breasts makes men stupid.â?",Rita Rudner,Rosie ODonnell,Rita Rudner,Queen Latifah,Bette Midler
"âI have many regrets, and Im sure everyone does. The stupid things you do, you regretâ¦ if you have any sense, and if you dont regret them, maybe youre stupid.â is a quote from this famous actress.",Katharine Hepburn,Joanne Woodward,Audrey Hepburn,Bette Davis,Katharine Hepburn
"âConservatives are not necessarily stupid, but most stupid people are conservatives.â What political economist made this unflattering comment?",John Stuart Mill,Donald L. Horowitz,Henry Kissinger,John Stuart Mill,NiccolÃ² Machiavelli
"This famous actress uttered the words: âIf I play a stupid girl, and ask a stupid question, Ive got to follow it through. What am I supposed to do, look intelligent?â",Marilyn Monroe,Ursula Andress,Marilyn Monroe,Raquel Welch,Bo Derek
"The Unbelievable Trip In A Wacky Aeroplane or The Incredible Journey In A Crazy Airplane are the German titles of this movie. In Australia, New Zealand, South Africa, Japan and the Philippines it is known as Flying High.",Airplane!,Away We Go,Get Shorty,Up,Airplane!
My Partner With the Cold Snout is the German title of this movie.,K-9,Ace of Hearts,K-9,Top Dog,Beverly Hills Chihuahua
This movie title is translated into German as Floppy Coppers Donât Bite or Yellow Coppers Donât Bite.,Dragnet,Dragnet,Starsky  Hutch,Wasabi,Osmosis Jones
This movie is known as Die Slowly in Germany  and as Skyscraper Attack in Portugal.,Die Hard,Die Hard,Die Hard 2,Die Hard: With a Vengeance,Die Hard Dracula
"This movie is titled Die Slowly, Now More Than Ever in Germany and Die Hard: Mega Hard in Denmark its titled. However, in Spain it is known as Crystal Jungle.",Die Hard: With A Vengeance,Die Hard Dracula,Die Hard: With A Vengeance,Die Hard 4.0,Die Hard 2
I Think Iâm Kicked by a Horse is the German title of this movie.,Animal House,Under the Western Sun,Animal House,Son of Paleface,Cat Ballou
Play me the Song of Death is a title inspired by a line from this movie.,Once Upon a Time in the West,The Mark of Zorro,Liberty Heights,Once Upon a Time in the West,The Alamo
The Year 2022. Those Who Want to Survive is the German title of this movie.,Soylent Green,Dawn of the Dead,Avatar,Soylent Green,Alien
A Pope to Kiss is the German title of this movie.,The Pope Must Die,Gone with the Pope,The Shoes of the Fisherman,Luther,The Pope Must Die
The title of what sci-fi movie was translated in Germany as Alarm in Space.,Forbidden Planet,Alien,Galaxy Quest,Apollo 13,Forbidden Planet
Final Call â When He Hangs Up She Has to Die is the German title of this movie.,Cellular,Dial M For Murder,Cellular,Phone Booth,The Crazies
Good Vibrations â Sex From Another World is the German title of this movie.,What Planet Are You From?,What Planet Are You From?,Mars Attacks!,Another Earth,Stealing Sinatra
In Germany this movie is titled Cuckoo while in Japan it is called 17-Year Old Girlâs Medical Chart.,"Girl, Interrupted",Exit Strategy,Something Borrowed,Nurse Betty,"Girl, Interrupted"
How much armor does a rank 6 Colossus have in the strategy game Battle Nations?,375,224,190,500,375
Which unit was NOT a limited time offer in the game Battle Nations?,Peace Keeper,Ninja Trooper,Peace Keeper,Special Agent,Saboteur
"In the strategy game Battle Nations, the Wimp has the highest possible attack off any unit.",False,True,False,,
Which unit was not in the 2.6 update of the game Battle Nations?,Lightning Trooper,Lightning Trooper,Wolf Scrapper,Guerrilla,Veteran
How much nanopods does the Meerkat cost in the video game Battle Nations?,45,50,60,55,45
Which two units can give enemies the Frozen status in the game Battle Nations?,Cryo Trooper and Frostbite,Freeze Trooper and Freeze Jeep,Cryo Trooper and Frostbite,Ice Trooper and Blizzard,Freeze Trooper and Freeze tank
Which Battle Nations unit has the highest dodge capabilities?,Scout Bike,Assassinator,Humvee,Ninja,Scout Bike
Which Silver Wolf unit is not trainable in the game Battle Nations?,Garbage Truck,Pickup,Wolf Enforcer,Garbage Truck,Wolf Artillery
Which building trains Allied Raider Mammoths in the strategy game Battle Nations?,Prestigious Academy,Barracks,Animal Trainer,Prestigious Academy,Raider Training Camp
How many tiers of The Infected are there in the game Battle Nations?,4,4,None,2,6
What is the name of Natalie Portmans Black Swan co-star whom she married in August 2012?,Benjamin Millepied,Darren Aronofsky,Joseph Fiennes,Vincent Cassel,Benjamin Millepied
What actress wore a Valentino wedding dress when she married actor and jewelry designer Adam Shulman?,Anne Hathaway,Anne Hathaway,Drew Barrymore,Kate Winslet,Jessica Biel
"In December 2012, this Oscar-winning actress secretly married her boyfriend of about one year, Ned Rocknroll.",Kate Winslet,Anne Hathaway,Blake Lively,Kate Blanchett,Kate Winslet
Who was actor Ryan Reynolds married to prior to tying the knot with his Green Lantern co-star Blake Lively?,Scarlett Johansson,Reese Witherspoon,Jpdie Foster,Scarlett Johansson,Alanis Morissette
"In May 2012, this celebrity married Priscilla Chan, in a ceremony at his home in Palo Alto, California.",Mark Zuckerberg,Bill Gates,Mark Zuckerberg,David Mitchell,Matthew McConaughey
"After four years together, this couple announced their split in March 2011. However, by fall 2011 they reunited and married in October 2012 at the Borgo Egnazia resort in Fasano, Italy.",Jessica Biel and Justin Timberlake,Drew Barrymore and Will Kopelman,Jessica Biel and Justin Timberlake,Reese Witherspoon and Jim Toth,Blake Lively and Ryan Reynolds
"In 2012, this actor married Hilaria Thomas, an instructor with Yoga Vida in Manhattan, who is 26 years his junior.",Alec Baldwin,Daniel Craig,Alec Baldwin,Bruce Willis,Michael Douglas
"On June 2, 2012, this actress married art consultant Will Kopelman and on September 26, 2012, she gave birth to her first child, Olive.",Drew Barrymore,Drew Barrymore,Kate Winslet,Anne Hathaway,Cynthia Nixon
"This longtime couple, whose third child was born in December 2012, tied the knot on June 9, 2012 in Austin, Texas.",Matthew McConaughey and Camila Alves,Chris Noth and Tara Wilson,Matthew McConaughey and Camila Alves,Blake Lively and Ryan Reynolds,Drew Barrymore and Will Kopelman
"What Greys Anatomy star got married on July 4, 2012 in a private beachside ceremony in New York?",Sara Ramirez,Miranda Bailey,Patrick Dempsey,Sara Ramirez,Eric Dane
Define shotgun wedding.,wife or death,wife or death,quit crying and say I do,shut up and smile,life or death
Define khakis.,what you need to start the car in Boston,a babys word for pants full,what you need to start the car in Boston,the sound a Khakis bird makes,None of these
What is an oboe?,an English tramp,None of these,an English tramp,a hairless cow,a form of Oh Boy uses in Sumatra
What does pasteurize mean?,too far to see,putting animals out to graze,none of these,too far to see,process for making rizes
What is a crick?,the sound that a Japanese camera makes,shortened name for cricket,none of these,sound that a cricket makes,the sound that a Japanese camera makes
Define dockyard.,a physicians garden,none of these,a pen for pigs,a lawn full of docks,a physicians garden
Define alarms.,what an octopus is,what an octopus is,what your wife detests in the morning,none of these,a group of thistle-colored reindeer
What is propaganda?,a gentlemanly goose,used on a movie set to hold up a ganda,a gentlemanly goose,none of these,bunch of BS
Define toboggan.,why we go to an auction,birds that are sucked into jet engines,an outlaw in New Zealand,none of these,why we go to an auction
Define absentee.,a missing golfing accessory,something you smell but cant identify,a missing golfing accessory,none of these,a penny on your stomach
"Although the movie didnt come out until 1996, its Chinese title is: Excitement 1995. And just to include some other countries: Finland = Rita Hayworth -The Key to the Escape, Israel =Walls of Hope and Greece = Last Exit: Rita Hayworth. One of these is close to the title and one gives away the ending.",The Shawshank Redemption,Cool Hand Luke,Escape from Alcatraz,Carlitos Way,The Shawshank Redemption
"Which movie title was translated in China as Who Is Face Belonging To? I Kill You Again, Harder!?",Face/Off,Slap Shot,Face/Off,Death Hunt,Miracle
In China this movie was called Heâs A Ghost!and in Hong Kong or Macao its called Ghost Eyes.,The Sixth Sense,The Eclipse,Mr. Soul,The Sixth Sense,Slices of Life
"So, You Are a Lawyer? is the Chinese title of this movie.",Interview With The Vampire,The Usual Suspects,A Few Good Men,Murder in the First,Interview With The Vampire
Ungrateful Adulteress! I Chop Off Your Finger! is the Chinese title of this movie.,The Piano,The Music Lovers,Mr. Hollands Opus,The Piano,For Ellen
Help! My Pretend Boyfriend Is Gay! is the actual Chinese title of this film.,My Best Friends Wedding,My Best Friends Wedding,Rent,My Own Private Idaho,Mysterious Skin
Which movie title was translated as Big Dumb Monkey-Man Keeps Whacking Tree With Genitals in China and asThe Jungle Died Laughing in Israel?,George of the Jungle,The Jungle Book,George of the Jungle,The Lost Tribe,Tarzan
"Great Buddha! I Can Smell You From Afar! Take a Bath, Will You?! is the Chinese title of this movie.",Scent of a Woman,Click,Reeker,Scent of a Woman,Proof
What movie title was translated in China as I Am That Guy From Seinfeld So Its Acceptable for Straight People to Enjoy This Gay Movie?,Love! Valour! Compassion!,The Brothers Sinclair,Love! Valour! Compassion!,Friends and Family,Homo Heights
Imaginary Dead Baseball Players Live in My Cornfield is the Chinese title of this movie.,Field of Dreams,The Perfect Game,The Wizard of Oz,Field of Dreams,North by Northwest
Delicate Orbs of Womanhood Bigger Than Your Head Can Hurt You was the Chinese title of this movie remake.,Barb Wire,Miracle Beach,Maniac Nurses,"Faster, Pussycat! Kill! Kill!",Barb Wire
"Come to My Cave and Wear This Rubber Codpiece, Cute Boy the Chinese title of this movie.",Batman  Robin,Altered States,Encino Man,Caveman,Batman  Robin
Oh No! My Girlfriend Has a Penis! is the Chinese title of this movie.,The Crying Game,Valentino,Hunger,The Crying Game,Jarhead
How did Christopher Columbus finance his trip to America?,with a Discover card,He sold his house.,He was helped by sweet talking Isabella.,with a Discover card,He robbed gold from his friend.
Where do you find giant snails?,on the ends of giants fingers,there are no giant snails,on the ends of giants fingers,under very large plants,in very large caves
Why is Saudi Arabia free of mental illness?,There are nomad people there.,the same reason they are free of alcohol,they have fantastic facilities,There are nomad people there.,they dont believe in it
What is the difference between one yard and two yards?,a fence,none if youve already scored a touchdown.,a fence,3 feet,an extra yard gained
What do you call a dinosaur with an extensive vocabulary?,A thesaurus,Smart Pants,Dino from the Flintstones,Hippopotomonstrosesquippedaliophobia,A thesaurus
What do you get when you cross the Atlantic Ocean with the Titanic?,half-way,half-way,nothing - the question is dumb,ship full of salt water,the Atlantic Titanic
What would be a weight loss mantra that might be sung at Weight Watchers?,Fat Chants,Slim Pickens,Fat Chance,Fat Chants,Skinny Minny
