question,answer,A,B,C,D
"This TV and voice actor is from a Jewish family from Greece. He has had many voice roles (numerous characters on the The Simpsons, Eddie Brock in the Spider-Man animated series), several Emmys, and roles in many movies and TV shows.",Hank Azaria,Mike Judge,Johnny Knoxville,Hank Azaria,Paul Giamotti
"To which of these animated films has popular American actress and voice artist, Mae Questel not contributed?",Micky Mouse,Who Framed Roger Rabbit,Popeye the Sailor,Micky Mouse,Betty Boop
"This remarkable ventriloquist voiced Scooby-Doo, Papa Smurf, Astro (the Jetsons dog), Hampton Pig, Boo-Boo (Yogi Bears buddy) and Ruff from Ruff n Reddy.",Don Messick,Don Messick,Thurl Ravenscroft,Trey Parker,Hans Conreid
"This voice actor was often called the king of the movie trailer, having voiced the trailers for over 3,000 movies. He is given credit for such movie clichÃ©s as A one man army.... and In a world, where....",Don La Fontaine,Isaac Hayes,Peter Cullen,Don La Fontaine,Melvin Franklin
"This actor from Paterson, New Jersey voiced Joe Swanson in Family Guy, Kronk in The Emperors New Groove, and Tick in TV series, Tick.",Patrick Warburton,Mike Judge,Daws Butler,Tex Brasher,Patrick Warburton
"Bill Scott, a voice actor, writer, and producer of animated cartoons, primarily in association with Jay Ward, was the voice of three of these characters. Name the one he did not voice.",Boris Badenough,Boris Badenough,Bullwinkle,Mr. Big,George of the Jungle
"This American actress, born in Paris, is best known for voicing Lisa Simpson from The Simpsons series. She also appeared on the situation comedies Hermans Head and Dharma and Greg.",Yeardley Smith,Julie Kravner,Yeardley Smith,Nancy Cartwright,Daniella Castellaneta
Her name is Memphis Eve. Who is her famous dad?,Bono,Bono,Todd Rundgren,Shaquille ONeal,Gregg Allman
"He changed his family name to separate himself from his famous uncle, but he named his son Kal-El.",Nicholas Cage,Jack Black,Nicholas Cage,Elliot DePalma,John Soderburgh
"She has named her children Six, Seven, Fly and Puma.",Erykah Badu,Erykah Badu,Shakira,Mel B.,Mel C.
"This Hawaiian born actress/singer starred in A Knights Tale; Kiss, Kiss, Bang, Bang; and appeared as a guest star on several TV shows. She named her son Audio Science Clayton.",Shannon Sossamon,Edie Falco,Shannon Sossamon,Keira Knightly,Bette Midler
Singer Sarah McLachlan has children named India Ann Sushil and Tajah Summer.,True,False,True,,
"This actor and friend of Jimmy Stewart served on board the U.S.S. destroyer, Satterlee. He served honorably in war, yet his daughter spent most of her early life protesting the Vietnam War.",Henry Fonda,Robert Mitchum,Kirk Douglas,John Wayne,Henry Fonda
"It was clear...frankly my dear, he did give a damn. He served honorably in WWII in the air force.",Clark Gable,Spencer Tracy,Clark Gable,Douglas Fairbanks,Lee Marvin
Nicolas Cage played one of the protagonists in the movie Fast Times at Ridgemont High.,False,True,False,,
In which of these movies has Nicolas Cage not appeared?,Crash (2004),Face Off,Crash (2004),Con Air,The Family Man
What was the occupation of Nicolas Cages character in the movie It Could Happen to You?,a police officer,a painter,a lawyer,a judge,a police officer
In which of these movies does Nicolas Cage play an arms dealer?,Lord of War,Warlord,The Warlords,Lord of War,War
Which of these war movies stars Nicolas Cage?,Windtalkers,Black Hawk Down,Saving Private Ryan,Windtalkers,Thin Red Line
Does Willem Dafoe star with Nicolas Cage in the 1990 movie Wild at Heart?,Yes,Yes,No,,
Nicolas Cage plays Andrew Sterling in the movie Amos  Andrew.,False,False,True,,
What was the name of Nicolas Cages character in the movie City of Angels?,Seth,Steven,Nate,Nathaniel,Seth
Nicolas Cage won an Academy Award for his performance as a suicidal alcoholic in this movie.,Leaving Las Vegas,Wild at Heart,8mm,Leaving Las Vegas,Adaptation
"The movie Captain Corellis Mandolin, starring Nicolas Cage, is set during which war?",WWII,The Vietnam War,None of these,WWII,WWI
"What was the full name of Hardy, of the famous comedy partnership, Laurel and Hardy?",Oliver Norwell Hardy,Oliver Norwell Hardy,Oliver Wendell Hardy,Wendell Oliver Hardy,Norton Oliver Hardy
"What was the full name of Laurel, of the famous comedy duo, Laurel and Hardy?",Arthur Stanley Jefferson,Stanley Arthur Jefferson,Wolliam Wendell Laurel,Arthur Stanley Jefferson,Arthur Stanley Laurel
"Which was the first movie in which Stan Laurel and Oliver Hardy both appeared in 1921, albeit not as a team?",A Lucky Dog,A Lucky Dog,The Second Hundred Years,The Bohemians,The  Piano Movers
"What was the last movie famous comedy duo, Laurel and Hardy made together?",Atoll K (aka Utopia),The Bohemians,Atoll K (aka Utopia),The Jerks at Sea,The Kentucky Gentlemen
"Which of these is not a name comedy duo Laurel and Hardy went by, in European countries?",Da Schoene und da Huebsche,Dick und Dorf,Da Schoene und da Huebsche,El Gordo y El Flaco,Stallio and Ollio
Which of the two members of comedy team Laurel and Hardy won a Lifetime Achievement Academy Award from the Screen Actors Guild ?,Laurel,Neither,Laurel,They won as a team,Hardy
"What was the cause of American actor, Oliver Hardys death on August 7, 1957?",Stroke,Stroke,Tuberculosis,Cancer,Heart attack
"Which of comedy team, Laurel and Hardys films won an Oscar for Best Comedy Short Subject in 1932?",The Music Box,The Music Box,The Tie Twiddler,The Bohemian Girl,Two Jerks at Sea
Which was the first movie in which actors Stan Laurel and Oliver Hardy officially appeared as a team?,The Second Hundred Years (June 1927),The Second Hundred Years (June 1927),Babes in Toyland (1934),The Lucky Dog (1921),The Music Box (1932)
Who co-starred with Elvis in Flaming Star?,Barbara Eden,Debra Paget,Juliet Prowse,Shelly Fabares,Barbara Eden
Which actress was Elviss love interest in Blue Hawaii?,Joan Blackman,Joan Blackman,Judy Tyler,Debra Paget,Carolyn Jones
Loving You stars Elvis Presley and this actress.,Dolores Hart,Diana Goodwin,Judy Tyler,Barbara Eden,Dolores Hart
"Elviss first film, Love Me Tender, stars what leading lady?",Debra Paget,Dolores Hart,Judy Tyler,Dianna Goodwin,Debra Paget
Elviss girlfriend in Charro was played by this actress.,Ina Balin,Carolyn Jones,Ina Balin,Barbara Eden,Dolores Hart
Stay Away Joe was a completely different image for Elvis.  Who starred with him in this film?,Katy Jurado,Ann-Margret,Katy Jurado,Carolyn Jones,Shelly Fabares
"Of all the movie stars Elvis Presley worked with, she was the only one to attend his funeral.",Ann-Margret,Juliet Prowse,Ann-Margret,Stella Stevens,Shelly Fabares
"Who did Elvis dance the Flamenco with, in movie Girls, Girls, Girls?",Laura Goodwin,Laura Goodwin,Donna Douglas,Stella Stevens,Juliet Prowse
"What actress starts in Live A Little Love A Little,  alongside Elvis?",Michele Cary,Nancy Sinatra,Connie Stevens,Michele Cary,Debra Paget
"There is more than one lady after Elviss attention in the move Fun In Acapulco, but only this one can be his Bosa Nova Baby.",Elsa Cardenas,Elsa Cardenas,Ann-Margret,Joan Blackman,Ursula Andress
It Happened at the Worlds Fair (1963) stars Elvis and this beauty.,Joan OBrien,Elsa Cardenas,Ursula Andress,Joan OBrien,Ann-Margret
"In the film,Wild in the Country, Elvis had to choose between three of these four leading ladies. Which actress did he pick?",Tuesday Weld,Tuesday Weld,Millie Perkins,Hope Lange,Laura Goodwin
Which R  B songstress named her child Puma?,Erykah Badu,Toni Braxton,Erykah Badu,Lauryn Hill,Mary J. Blige
Diezel is the child of which R  B songstress?,Toni Braxton,Vanessa Williams,Toni Braxton,Brandy,Lauryn Hill
Kal-el is the child of which Oscar winning actor?,Nicholas Cage,Dustin Hoffman,Nicholas Cage,Russell Crowe,Tom Hanks
This Oscar winning actress named her daughter Apple.,Gwyneth Paltrow,Helen Hunt,Frances McDormand,Gwyneth Paltrow,Hilary Swank
This former supermodel named her child Sailor Lee.,Christie Brinkley,Kathy Ireland,Rachel Hunter,Cheryl Tiegs,Christie Brinkley
Which television and movie actor has a child named Thyme?,Isiah Washington,Patrick Dempsey,Kevin Bacon,Bruce Willis,Isiah Washington
This movie star named his child Reignbeau.,Ving Rhames,Damon Wayans,Jamie Foxx,Ving Rhames,Samuel L. Jackson
Which Australian born actress named her child Banjo?,Rachel Griffiths,Rachel Griffiths,Toni Collette,Naomi Watts,Nicole Kidman
Which comedian has a child named Moxie Crimefighter?,Penn Jillette,Adam Carolla,Penn Jillette,Jason Alexander,Chris Kattan
Which musician has a son named Speck Wildhorse?,John Mellancamp,Jon Bon Jovi,John Denver,John Mellancamp,Bono
"Which Aerosmith song are the following lyrics from: Sing with me, sing for the year, sing for the laughter, sing for tear..?",Dream On,Walk This Way,I Dont Want To Miss A Thing,Dream On,Rag Doll
"Which is the missing word from the lyrics of the popular Aerosmith song I Dont Want To Miss A Thing: âI could stay awake, just to hear you _________â?",Breathing,Sleeping,Blinking,Walking,Breathing
"The following lyrics are from the song Walk On Water by Aerosmith: âCruised into a bar on the, her picture graced the grime on the door.â",False,True,False,,
"What Aerosmith song are the following lyrics from: âGet ready for the big time, tap dancing on a land mineâ?",Rag Doll,Rag Doll,Angel,Walk This Way,Cryin
"What is the missing word in these lyrics by Aerosmith: âI was _____ when I met you, now Im dying to forget youâ?",Cryin,Angry,Crazy,Cryin,Sad
"What song by Aerosmith has the following lyrics: You talk about things that nobody cares, youâre wearing out things that nobody wears?",Sweet Emotion,Dream On,Sweet Emotion,Amazing,Janies Got A Gun
"The following lyrics are from the song Amazing by Aerosmith: Lifes a journey, not a destination, and theres just no telling what tomorrow brings.",True,False,True,,
"What Aerosmith song are the following lyrics from: That kind of lovin, sends a man, to his grave?",Crazy,Cryin,Love In An Elavator,Crazy,Angel
What is the most popular nickname of TV talk show host Jay Leno?,The Chin,The Boss,The Grandpa,The Wig,The Chin
Justin Timberlakes very curly blond hair has earned him this funny nickname.,Curly Spice,Perm,Surly-Curly,Curly Spice,Noddle Hair
What was the reason Madonna was called Madge in Great Britain?,It is short for Your Majesty,Because she mentions Joe DiMaggio in her song Vogue,It is just a pet name for Madonna,It is short for Your Majesty,Because she resembles Mary Magdalene
What is actress Courtney Coxs nickname that she was given by her family and friends as a child?,CeCe,Tsetse,CeCe,Coxie,CoCo
"Reportedly president George W. Bush liked to call himself this, being a big fan of nicknames.",The Decider,The Decider,The Big Brother,The Manager,The Big Bad Boss
Gwen Stefani has been called this nickname because of her smile and her signature platinum blond hair.,Sunshine,Sunshine,Sunrise,Barbie,Marilyn
What female singer has been called Booty because of her impressive buttocks?,Janet Jackson,Shakira,Beyonce,Jennifer Lopez,Janet Jackson
What nickname was given to actor Charlie Sheen which rhymes with his last name?,Masheen,Teen,Spleen,Mean,Masheen
Aerosmiths lead singer Steven Tyler was called this nickname to refer to his powerful voice and signature vocalization.,Demon of Screaming,Soundwave,The Deafening Monster,Demon of Screaming,Gigahertz
What American actor was given the ingenious nickname Italian Stallion?,Sylvester Stallone,Robert De Niro,Leonardo DiCaprio,Sylvester Stallone,Ray Liotta
For which film did Frank Sinatra get his Oscar?,From Here to Eternity,Suddenly,Kings go Forth,From Here to Eternity,Can-Can
Which film starring Frank Sinatra was based on the life of the comedian Joe E. Lewis?,The Joker is Wild,The Tender Trap,Pal Joey,The Joker is Wild,Meet Danny Wilson
In which movie did Frank Sinatra make his starring debut?,Higher and Higher,Higher and Higher,Take Me Out to the Ballgame,Miracle of the Bells,On the Town
Which of these movies stars both Doris Day and Frank Sinatra?,Young at Heart,On the Town,The Tender Trap,Oceans 11,Young at Heart
Name the 1955 film in which Frank Sinatra co-starred with Debbie Reynolds and David Wayne.,The Tender Trap,The Pride and the Passion,The Lady in Cement,The Tender Trap,The Devil at 4 OClock
Which of these is a Rat Pack film starring Frank Sinatra set in the Old West?,Sergeants Three,Dirty Dingus McGee,Assult on a Queen,The Miracle of the Bells,Sergeants Three
Which western spoof co-starred George Kennedy and Frank Sinatra as an outlaw with a $10.00 (ten dollar) price on his head?,Dirty Dingus McGee,Way Out West,Dirty Dingus McGee,Miracle of the Bells,Suddenly
In which film did Frank Sinatra play the owner of a naughty Parisian night spot?,Can-Can,The French Twist,The Joker is Wild,I Remember Paris,Can-Can
Which 1966 Frank Sinatra films plot centred around a heist on an ocean liner?,Assault on a Queen,War and Peace at Sea,Assault on a Queen,Oceans Eleven,The Cruise Ship Caper
"In which film did Frank Sinatra and Jules Munshin sing the emblematic theme song New York, New York?",On the Town,In Old New York,On the Town,"New York, New York",Wonderful Town
In which Frank Sinatra film did Old Blue Eyes play Nathan Detroit?,Guys and Dolls,On the Town,Can-Can,Guys and Dolls,"New York, New York"
"Which movie, for which Frank Sinatra was already cast, saw him pull out when he learned he would have to film each scene in two different technologies?",Carousel,Carousel,My Fair Lady,Guys and Dolls,Oklahoma
When and where was Robert Duvall born?,"January 5, 1931in SanDiego, California","January 5, 1931in SanDiego, California","January 5, 1951in Dumont, Texas","January 5, 1956 in Des Moines, Iowa","January 5, 1941in Annapolis, Maryland"
"Which statement is incorrect about Luciana Pedraza, Robert Duvalls fourth wife?","She was born in Verz Cruz, Mexico.",She is over 40 years younger than he is.,She was the writer and director of the movie Portrait of Billy Joe.,She and Robert are avid Tango dancers.,"She was born in Verz Cruz, Mexico."
Robert Duvall and his good friend Dustin Hoffman studied with the same famous acting  teacher. Who was he?,Sanford Meisner,Sanford Meisner,Uta Hagen,Lee Strassberg,Tyrone Guthrie
Robert Duvalls acting teacher got him a part in the play The Midnight Caller. Who was the author of this play?,Horton Foote,Tom Stoppard,Sanford Meisner,David Mamet,Horton Foote
Robert Duvall was the first actor to play Major Frank Burns.,True,False,True,,
For which of these movies did Robert Duvall win the Best Actor Oscar?,Tender Mercies,The Godfather,The Apostle,Apocalypse Now,Tender Mercies
Robert Duvall is known to be aligned with which political party?,The Republican Party,The Republican Party,The Green Party,The Libertarian Party,The Democratic Party
"In the Godfather movies, how many men did Robert Duvalls character personally kill?",0,1,5,0,2
"In which movie does Robert Duvall not portray Lt. Col. Meacham, a fighter pilot?",The Pilot,The Gift of Fury,The Ace,The Great Santini,The Pilot
To which famous American can Robert Duvall trace his lineage?,Robert E. Lee,Robert E. Lee,U.S. Grant,George Washington,William T. Sherman
Which of these roles was not played by Robert Duvall?,Kit Carson,Josef Stalin,James Earl Jones brother,Adolph Eichmann,Kit Carson
Which of these characters was not portrayed by Robert Duvall?,Jimmy Carter,Joseph Pulitzer,Dwight D. Eisenhower,Robert E. Lee,Jimmy Carter
"The following lyrics are from a song by the Rolling Stones, released in 1971 as the first single of the album, Sticky Fingers.  Name the song.",Jimmy Carter,,,,
"The following lyrics are from a song by the Rolling Stones, released in 1971 as the first single of the album, Sticky Fingers.  Name the song.",Brown Sugar,Brown Sugar,Beast of Burden,Its only rock and roll,Rough Justice
"The following lyrics are from Miss You, a 1978 hit song by the Rolling Stones: ",Brown Sugar,,,,
"The following lyrics are from Miss You, a 1978 hit song by the Rolling Stones: ",True,False,True,,
"These are the opening lines of a song by The Rolling Stones, which first appeared as the opening track on the 1968 album, Beggars Banquet.  Guess the song.",True,,,,
"These are the opening lines of a song by The Rolling Stones, which first appeared as the opening track on the 1968 album, Beggars Banquet.  Guess the song.",Sympathy for the Devil,Harlem Shuffle,Jumpin Jack Flash,Get off My Cloud,Sympathy for the Devil
"These lyrics come from Fool to Cry, a song which appears on The Rolling Stones album, Black and Blue:",Sympathy for the Devil,,,,
"These lyrics come from Fool to Cry, a song which appears on The Rolling Stones album, Black and Blue:",False,False,True,,
Which statement concerning Bernie Mac is true?,"Bernie was born October 5 1958 in Chicago, Illinois.","Bernie was born October 5 1963 in Compton, California.","Bernie was born October 5 1958 in Chicago, Illinois.","Bernie was born October 5 1962 in Oakland, California.","Bernie was born October 5 1960 in Philadelphia, Pennsylvania."
In 1992  Bernie Mac made his film debut in this comedy about a con artist who gets a job at a credit card  company.,MoMoney,MoMoney,Im Gonna Git You Sucka,Punchline,Blankman
"In 1993 Bernie Mac was in a movie about two totally inept barbers, starring Ice-T and Ed Lover.",Whos the Man,Barber Shop,Friday,Above Heaven,Whos the Man
Bernie Mac tours with three other entertainers known as The Kings of Comedy. Which of the following is  not one of them?,Chris Rock,Steve Harvey,Cedric the Entertainer,Chris Rock,D.L. Hughley
What was the name of the HBO special which Bernie Mac did in 1995 in Chicago?,Midnight Mac,Mac Attack,Just Bernie,Midnight Mac,The Bernie Mac Hour
"Which 2003 movie, written and directed by Chris Rock, starred Bernie Mac as Chris Rocks brother?",Head of State,Friday,Colors,Get on the Bus,Head of State
From which ailment is Bernie Mac known to suffer?,Sarcoidosis,Type II Diabetes,Bucelosis,Sarcoidosis,Type I Diabetes
"In this 2004 movie, Bernie Mac portrayed a baseball player who had to return to the game to get his 3000th hit.",Mr. 3000,Mr. 3000,The Last Season,Its All in the Game,Major League
"In Oceans 11and 12, Bernie Mac plays Frank Catton. What is his specialty in the movie?",Infiltration,Infiltration,Weaponry,Gymnastics,Electronic
"In The Bernie Mac Show, Bernie is married to a beautiful woman portrayed by this actress.",Kelita Smith,Jamie Suarez,Camille Winbush,Dee Dee Davis,Kelita Smith
"Harrison Ford was going to appear in this movie, but his scene was deleted in the final cut.",E.T.,E.T.,Bull Durham,Poltergeist,Daddy Day Care
In this movie Harrison Ford plays a man on vacation who gets involved in a terrorist attack on the U.K.s Royal Family.,Patriot Games,Patriotism,Patriot Games,Time of the Patriot,The Patriot
Harrison Ford made his first movie appearance in this 1966 movie.,Dead Heat on a Marry Go-Round,Cold in the Park,A Cold Winter,Dead Heat on a Marry Go-Round,Heat of the Desert
Harrison Ford is an avid pilot.,True,True,False,,
When was Harrison Ford born?,none of these,"July 14, 1942","July 14, 1941",none of these,"July 14, 1943"
"George Lucas wanted Han Solo to die in Return of the Jedi, but Harrison Ford talked him out of it.",False,False,True,,
Harrison Ford is an avid fan of this sport.,Mixed Martial Arts,Mixed Martial Arts,Drag Racing,Badminton,Fishing
For which movie did Harrison Ford receive an Oscar Award nomination?,Witness,Patriot Games,Witness,The Fugitive,all of these
When was Will Ferrell born?,July 16 1967,August 5 1969,September 18 1965,July 16 1967,October 20 1970
Will Ferrells real name is John William Ferrell.,True,True,False,,
How tall is actor Will Ferrell?,6 3,65,6 3,60,510
Has actor Will Ferrell been married?,Yes,No,Yes,,
Is actor Will Ferrell a drop out?,No,Yes,No,,
Actor Will Ferrell had surgery when he was a teen.,False,True,False,,
In what movie did Will Ferrell play an auditor whose life was guided by his watch?,Stranger Than Fiction,Melinda and Melinda,Stranger Than Fiction,Wedding Crashers,Old School
