question,answer,A,B,C,D
"What is the Catholic term for a person who, after death, goes to heaven?",saint,saint,cherub,seraph,angel
"What does the Catholic church teach about Mary, Jesus mother?",She was a virgin until her death.,"She was a virgin when Jesus was born, but not necessarily after.",Joseph divorced her quietly after Jesus was born.,"She was a virgin when Jesus was conceived, but not necessarily after.",She was a virgin until her death.
"According to the Bibles description of the creation of the world, on what day of the week were the sun, moon, and stars formed?",Fourth,Second,Third,Fifth,Fourth
Who begged for the body of Jesus to give it a proper burial?,Joseph of Arimathaea,Joseph of Arimathaea,Peter,Mark,Matthew
What scripture of the King James Bible is most noted for the story of the birth of Jesus?,"Luke, Chapter 2","Luke, Chapter 1","Luke, Chapter 3","Luke, Chapter 2","Matthew, Chapter 2"
"According to the biblical texts, whom do these words belong to: Thou shalt have no other gods before me!?",God,Moses,Aaron,Miriam,God
Who was Ruths mother-in-law according to biblical texts?,Naomi,Mara,Naomi,Orpah,Boaz
"Who wrote Epistle to the Romans, included in the New Testament canon of the Christian Bible?",Paul,Peter,Paul,Mark,Luke
"According to Christian beliefs, what was the nature of the first sin man ever committed?",Disobedience,Greed,Murder,Disobedience,Blasphemy
"According to the Bibles interpretation of Moses life, who ran along the bank to make sure that Moses was alright in his basket after he was set adrift on the Nile river?",His sister,His brother,His mother,His sister,His father
What does the name Moses mean according to the Biblical texts?,Drawn out,Found,Child of the river,Conceived by a Hebrew,Drawn out
What was the name of Mosess brother according to the Bible?,Aaron,Clive,Aaron,Peter,John
"According to Exodus, what was the ninth plague that God inflicted on Egypt in order to convince Pharaoh to let the Israelite slaves leave?",Darkness,Death of First Born Child,Lice,Darkness,Frogs
Why did Moses have to flee out of Egypt and settle on the Sinai Peninsula according to the Bible?,He killed an Egyptian,He killed an Egyptian,He was banned for disrespectable behaviour towards the Pharaoh.,None of these,He killed the Pharaoh
"According to the last chapters of Exodus, what was the Tabernacle, which was built after the Israelites passed safely the Red Sea with Gods help?",A portable place of worship,A vehicle with a prayer altar,A portable prayer altar,A portable place of worship,A portable irrigating system
Who is the second oldest living man according to the Bible?,Jared,Enoch,Mahalalel,Jared,Methuselah
What is the name of the only Archangel mentioned in the Bible?,Michael,Lucifer,Jesus,Michael,Gabriel
Who was emperor of Rome at the time of Jesus death?,Tiberius,Augustus,Tiberius,Caligula,Claudius
"This tradition was founded in England in the 1960s by Alex Sanders, who referred to himself as the King of his Witches.",Alexandrian,Strega,Gardnerian,Celtic,Alexandrian
Caledonii tradition comes from this country.,Scotland,France,Italy,England,Scotland
"This system is indigenous to South Central Pennsylvania, USA.",Pow-Wow,Strega,Satanic,Pow-Wow,Seax-Wica
This tradition was founded by Raymond Buckland in 1973.,Seax-Wica,Seax-Wica,Dianic,Teutonic,Hereditary
This tradtion is also know as the Nordic tradition.,Teutonic,Eclectic,British Traditional Witch,Pictish,Teutonic
"If I practice the Craft by myself,  not as part of a coven, I am said to be this.",Solitary,Strega,Solitary,Alexandrian,Pictish
"Voodoo is actually a religion, which originated in Africa. Voodoo comes from the West African word vodun. What does vodun mean?",Spirit,Revenge,Spirit,Doll,Death
"The structure of Voodoo, as we know it today, was developed after the Europeans started slavery. Where was Voodoo born?",Haiti,Jamaica,Hawaii,Taiti,Haiti
"The French rulers persecuted Voodoo priests and practitioners. In 1791 a revolution exploded, which was led by the Voodoo priests. It ended in the year of Napoleons crowning.",1804,1784,1804,1754,1854
The high Voodoo priest and priestess are often called this.,Papa and Maman,Papa and Maman,Supreme Magicians,Son and Daughter of the Serpent,Dad and Mum
"In Voodoo, God is considered to be too distant for people to communicate with. Therefore, Voodoo priests communicate with God through Loa. What is Loa?",The spirits,The spirits,The dolls,The drums,The demons
Voodoos equivalent in Cuba is Santeria. Do you know which the equivalent of Voodoo in Brazil is?,Macumba,Maabaa,Mooboo,Macumba,Mojo
How is New Year referred to in Judaism?,Rosh Hashannah,Tzom Gedalia,Rosh Hashannah,Yom KIppur,Shabbat
"At Passover, Jews eat a special meal done in a special order.  What is that meal called?",A seder,A festavus for the rest of us,A seder,A Shidduch,A circumcision
What is the traditional Jewish prayer book called?,Siddur,Siddur,Seder,The United Psalmistry,Shofar
How many letters are in the hebrew alphabet?,22,24,22,25,20
How many vowels are in the Hebrew alphabet ?,0,8,0,5,6
We consider there to be three Patriarchs in Judaism. Who were they?,"Abraham, Issac, Jacob","Moses, David, Abraham","Abraham, David, Moses","Abraham, Issac, Jacob","David, Joshua, Solomon"
"In Judaism, who was Joshuas father?",Nun,Abraham,Solomon,Nun,Moses
On the first day of which month do Jews celebrate New Year?,Tishrei,Cheshvan,Adar,Tishrei,Av
Which Hebrew phrase is most commonly associated with the English expression Good Luck and/or Congratulations?,Mazel Tov,Laych lGehinnom,Hayem Yankel,Oy Vey,Mazel Tov
Who was the Baal Shem Tov ?,The founder of Chassidism,The founder of the Bnai Brith,The first Premier of  Israel,The founder of Chassidism,The first President of Israel
"According to the second half of the Acts of the Apostles, what was Pauls name before God changed it?",Saul,Peter,Luke,Saul,John
Which line gives the correct order of the first 5 books of the Old Testament?,"Genesis, Exodus, Leviticus, Numbers, Deuteronomy","Genesis, Leviticus, Numbers, Deuteronomy, Exodus","Genesis, Exodus, Numbers, Deuteronomy, Leviticus","Genesis, Exodus, Leviticus, Deuteronomy, Numbers","Genesis, Exodus, Leviticus, Numbers, Deuteronomy"
What tribe of Israel was Moses born into?,Levite,Reubon,Benjamin,Jacob,Levite
Eye of newt and toe of frog,Macbeth,The Tempest,Hamlet,A Midsummers Night Dream,Macbeth
She held me spellbound in the night,Macbeth,The Tempest,Hamlet,A Midsummers Night Dream,ncing shadows and firelight
She held me spellbound in the night,The Eagles,J Giles Band,The Eagles,The Zombies,Grateful Dead
"Do you think God knew what He was doing when he created woman? Or do you think it was another one of his minor mistakes like tidal waves, earthquakes or FLOODS!, asked Daryl Van Horne in The Witches of Eastwick. What actor played Daryl Van Horne, just your average horny little devil?",Jack Nicholson,Dennis Hopper,Harvey Keitel,Christopher Walken,Jack Nicholson
Ding dong the witch is dead.,The Wicked Witch of the East,The Wicked Witch of the West,The Wicked Witch of the North,The Wicked Witch of the South,The Wicked Witch of the East
The movie An American Haunting was based on one of the most famous hauntings in American folklore. A Tennessee farmer shot at a strange animal with the body of a dog and the head of a rabbit.  What name was given to the entity that haunted the family and was said to have murdered the Tennessee farmer?,The Bell Witch,The Blair Witch,The White Witch,Mother Shipton,The Bell Witch
The works of this Jewish thinker formed the basis of the writings of Thomas Aquinas.,Maimonides,Rashi,Bal Shem Tov,Maimonides,Ibn Gabriol
"What is prayer shawl worn by Jews in the morning Jewish services, during the Torah service, on Yom Kippur, and other holidays called?",A tallit,A kippah,A mohel,A mezzuzah,A tallit
"Even when Jewish men are not reading Torah, they wear a garment with fringes with knots. It is worn under the shirt with the fringes exposed. What is this garment called ?",Tallit katan,Yarmulka,Tephilin,Tallit katan,Kippah
"The night before Yom Kippur, called this,  is the most important night service in Judaism.",Kol Nidre,Rosh Hashannah,Musaff,Shabbat  HaGadol,Kol Nidre
The most important prayer in Judaism is called the Shema. What does it affirm?,Our faith that there is one and only God.,That we will not be moved,Our faith that there is one and only God.,That everyday problems will eventually solve if we have faith,We thank God for delivering us from at least some of our problems
What is the first letter of the Hebrew alphabet?,Aleph,Dalet,Gimmel,Bet,Aleph
What do Jews do when the case which houses the Torah is opened?,Stand up,Become quiet,Close eyes,Bow heads,Stand up
On which Holy Day do Jews feast on unleavened bread?,Passover,Rosh Hashannah,Channukah,Passover,Yom Kippur
"There are two ways to pronounce Hebrew words. One is called Ashkanazi and the other one, this",Sephardic,Galut,Asian,Sawphateet,Sephardic
"These fundamental statements have led to the formulation of the Buddhist philosophy, and contain the basic principles of the spiritual teacher, Buddha.",The Four Noble Truths,The Seven Articles of Faith,The Three Scrolls,The Ten Paths,The Four Noble Truths
What is the central theme of the teachings of religious teacher Buddha and of Buddhist philosophy as a whole?,Suffering,Happiness,Achieving perfection,Achieving unity with nature,Suffering
"What was the birth name of the historic figure known as Buddha, the founder of the Buddhist religion?",Siddhartha Gautama,Siddhartha Gautama,Jakili Saruputa,Elkini Baros,Malik Mohammed
What is the formula to end or reduce suffering according to the principles of Buddhism?,The Noble Eightfold Path,The Ten Righteous Practices,Deep Meditation,The Noble Eightfold Path,The Six Cures
"After completing his religious reawakening, Buddha considered himself to be which of these?","a man, who woke up to the nature of reality","a man, who woke up to the nature of reality",a god,"a prophet, sent by a supreme being to deliver the universal truth",pure spiritual energy
The beginning of the Buddhist religion can be traced back to the fifth century BC in which country?,India,China,Thailand,India,Pakistan
"What is the Japanese variation of Buddhism, that emphasizes on the role of sitting meditation in pursuing enlightenment?",Zen,Mahayana,Thervada,Zen,Tantric
"What is the definition of Zen Koan, one of the important aspects of Buddhist religious practices?","A question, meant to challenge rational thinking","A question, meant to challenge rational thinking",A clan of spiritual leaders in the Zen Buddhist religious community,"A sitting pillow, used during mediation",An robe worn by Zen Buddhist monks
"Creating complex, radial, and symbolic sand paintings is a practice typical for which branch of Buddhism?",Tibetan Buddhism,Theravadic Buddhism,Tibetan Buddhism,Nichiren Buddhism,Zen Buddhism
Which of the following statements best describes the essence of Buddhism?,It is a means for people to save themselves.,It is a means for people to save themselves.,"It is the legacy of a prophet, sent to earth with a message of universal love.",It is a religion that seeks to attract and convert others.,It is a tradition aimed at spreading peace in the world.
"Son of a Jewish immigrant from Breslau, Prussia, Lucius Nathan Littauer was born in Gloversville, Upstate New York, in 1859. Being a politician wasnt his only occupation; what is Lucius Littauers other achievement with which he remained in history?",The first Jewish football coach at Harvard,The first Jewish  basketball coach in Oxford,The first professional Jewish baseball player,The first Jewish football coach at Harvard,The first Jewish professional football coach
"Julius Vogel, a London born Jew, who first became involved in politics in 1862, was the first Jew to be on this political post.",Prime Minister of New Zealand,Prime Minister of Australia,Prime Minister of Canada,Prime Minister of New Zealand,Governor General of Canada
"During the 1968 presidential campaign, Rabbi Baruch Korff developed a personal relationship with this American president, who even referred to Korff as My Rabbi.",Richard Nixon,Gerald Ford,Lyndon Johnson,Richard Nixon,Jimmy Carter
In 1927 Charles A. Levine was the first Jew to do what?,Fly the Atlantic,Fly the Atlantic,Fly a USAF fighter,Get a degree in aerospace engineering,Build a monoplane
"In what business did John M. Brunswick and his two half brothers, David and Emmanuel, make their fortune?",Billiard table business,Entertaining industry,Aircraft industry,Billiard table business,Cell phone business
"Isachar Zacharie, an English born Jew, who was related to important American politicians, worked as what?",Lincolns podiatrist,Lincolns podiatrist,Al Gores press secretary,The first Jewish Prime Minister,Washingtons lawyer in Virginia
"Why was Rabbi David Einhorn, a German rabbi and later leader of the Jewish reform movement in the United States, forced to leave Baltimore in 1861, during the Civil War?",He preached against slavery,He expressed too radical views,"He insulted the Governor of Maryland,Thomas Hicks","He insulted the Mayor of Baltimore, George Williams",He preached against slavery
"A famous and talented composer was almost bankrupt when he wrote one of his best-known works, Judas Maccabaeus - an oratorio based on a Jewish theme. Who was this classical composer?",Handel,Hayden,Handel,Chopin,Mozart
"Marty Glickman and Sam Stoller were great 100-yard runners in the 1930s. They were to be on the 4x100 meter relay race team for the USA in the 1936 Olympics, but eventually did not take part in the race. What was the reason?",Hitler demanded their exclusion,They were late to the field,They refused to run on Saturday (Shabbos),They were caught using steroids,Hitler demanded their exclusion
Bodhisattva is consciously seeking what?,Enlightenment,Tranquility,Enlightenment,Thangka,Buddha
What is Dharma?,The cosmic principles of existence,The cosmic principles of existence,The Hindu Goddess of happiness,The extinction of desire and individual consciousness,Same as Adharma
Buddhist believe that this depends on the actions that we have taken in the past.,Our births,Our Nirvana,Our happiness,Our births,Our Karma
In Buddhism the cycle of rebirths is known as what?,Samsara,Bodhi,Dharma,Samsara,Thangka
Which saint is known as the patron of children?,Nicholas,Anthony,Nicholas,Barbara,Martha
Who is known as the patron of India?,Francis Xavier,Francis Xavier,John the Divine,Giles,Catherine
St. Benedict is known as the patron of which of these groups of people?,Monks,Monks,Librarians,Musicians,Fishermen
Who was the first Italian-American woman to be canonized as a saint of the Catholic Church?,Frances Cabrini,Mother Catherine,Dorothea of the Angels,Frances Cabrini,Agnes of God
Which saint is referred to as the patron of fishermen?,Andrew the Apostle,Andrew the Apostle,Raphael the Archangel,Jerome,Sebastian
Which  saint is most often invoked for the recovery of a lost object?,Anthony,Josephine,Rebecca,Anthony,Jude
Who used to be the patron saint of travelers?,St. Christopher,St. Michael,St. Christopher,St. Theresa,St. Andrew
Which saint is the patron of all animals and living creatures?,Francsis of Asissi,Francsis of Asissi,Francis de Salles,Francis of Rome,Francis Xavier
Who is the patron saint of writers and librarians?,Jerome,Jerome,Thomas Aquinas,Gregory,Edward the Confessor
To which saint does one pray for healthy eyes?,"St. Lucy, Virgin",St. Mary of Naples,"St. Lucy, Virgin",St. Frances of the Holy Redeemer,St. Anne
What is the Hindu Trinity?,"Vishnu, Brahma, Shiva","Shiva, Brahma, Krishna","Shiva, Lakshmi, Ganesh","Vishnu, Brahma, Shiva","Buddha, Brahma, Ganesh"
What is the most sacred river for Hindus?,Gange,Jamuna,Gange,Siddharta,Goa
How many women-followers did the Hindu deity Lord Krishna have?,108,108,2,1,167
What are the main characters of the ancient Sanskrit epic Ramayana?,Rama and Sita,Brahma and Vishnu,Rama and Krishna,Rama and Sita,Krishna and Shiva
"Who is the founder of the International Society for Krishna Consciousness, known as the Hare Krishna?",Prabhupada,Prabhupada,George Harrison,Sai Baba,Dalai Lama
"Lord Ganesh, one of the most worshipped divinities in Hinduism, has the head of what animal?",elephant,cobra,lion,bear,elephant
Which of these belonged to the highest-ranking Hindu caste?,priests,widows,warriors,priests,workers
Krishna is an incarnation of which Hindu god?,Vishnu,Vishnu,Buddha,Shiva,Brahma
"According to the Book of Esther, Esther replaced this disobedient Biblical queen.",Queen Vashti,Queen Ruth,Queen Vashti,Queen Mary,Queen of Sheba
This brave Biblical woman led the Israelites to victory in the battle against Sisera.,Deborah,Rebecah,Leah,Sarah,Deborah
"According to the Bible, King David saw this beautiful woman bathing, and immediately desired her, but she was married.",Bathsheba,Ahinoam,Abigail,Michal,Bathsheba
"This Biblical woman couldnt have children, but finally God granted her a son, who was to be named Samuel and become one of the Bibles most prolific prophets of all time.",Hannah,Hannah,Abigail,Peninnah,Hagar
"According to the New Testament, this woman had a son called John the Baptist.",Elizabeth,Martha,Elizabeth,Maacah,Mary
"According to the Book of Exodus, this brave mother hid her young baby son, Moses, in a basket along the Nile River, so that no one could kill him.",Jochebed,Jochebed,Miriam,Martha,Zipporah
This biblical heroine hid two Israelite spies in her house under stalks of flax.,Rehab,Leah,Rehab,Naomi,Rachel
"In the Bible, this woman gave birth to male twins and as she was in labor the twins jostled each other, one babys hand grasping the heel of the other infants foot.",Rebekah,Rachel,Rebekah,Leah,Hagar
This Biblical woman poured perfume on Jesus feet and wiped them with her hair.,Mary,Mary,Keturah,Samaritan woman,Sarah
"According to the Bible, this woman became a widow and decided to live with her mother-in-law instead of going home to her family. She then married Boaz.",Ruth,Ruth,Naomi,Oprah,Esther
Which of these architects designed St. Peters Basilica in Rome?,Carlo Marchionni,Carlo Marchionni,Donato di NiccolÃ² di Betto Bardi,Michelangelo di Lodovico Buonarroti Simoni,Gian Lorenzo Bernini
The Temple of Vespasian was begun by Titus after whose death?,"his father, Vespasian","his brother-in-law, Jesus","his father, Vespasian","his brother, Domitian","his best friend, Tiberius"
"When Michelangelo was still an apprentice, he made an imitation of a famous Roman statue that was sold in Rome as an ancient Roman original. What was the name of the original statue?",Il Putto Dormiente,Cherubini,Bacchus,Il Putto Dormiente,Moses
How  many books are in the Torah?,5,18,5,21,10
What was the only automobile brand named after a Jew?,Citroen,Oldsmobile,Citroen,Duesenberg,Auburn
Which of these great home run hitters was Jewish?,Hank Greenberg,Tony Gwynn,Hank Greenberg,Jimmy Foxx,King Kong Keller
"Except for Saturday, how many times a day must an Orthodox Jew pray?",3,19,3,1,5
"On front of the home of every Jew, there is a special decoration or religious symbol. It is also found inside the home at very doorpost and every gate. In each one, there are three sections of the (Old) Testament.  What do we call these religious objects?",Mezzuzas,Moshiach,Mohels,Mezzuzas,Torahs
"On Columbus first trip to the new world, many Jews were employed by Columbus. What was the highest job held by a Jew?",Translator,Weatherman,Translator,Treasurer,Supply commander
What religious article must every unmarried Jewish woman wear?,None,Red String,Star of David,None,Fringes
"In every synagogue, in every country in the world, there are the same number of statues. How many?",0,10,5,0,3
Who is the first human who murdered a human according to the Bible?,Cain,Eve,Cain,Adam,Abel
What Biblical figure built an ark on top of a mountain?,Noah,Moses,Jacob,Noah,Joseph
What Biblical hero split the sea so that he and his people could go across?,Moses,Noah,Joseph,Jacob,Moses
What does the name Moses mean according to the Bible?,taken from the water,Prince of Egypt,taken from the water,beautiful,sour
How many books are there in the Bible?,66,64,65,59,66
"How many times a year is a healthy, adult Jew required to fast?",6,0,13,6,2
What is the subject of the first Book of the  Talmud ?,Blessings,There is no first book,Blessings,Civil Torts,Shabbat
It is considered that the Jewish Golden Age occurred in this country.,Spain,Spain,France,Israel,India
"In 1776, when we Jews declared themselves free from England, which British colony had the most Jews?",Jamaica,Union of South Africa,Australia,Jamaica,Canada
"On the holy day, Simchat Torah, Jews finish reading the five books of the Torah and do what immediately after?",Start again,Throw a party,Start again,Discuss the days events,Have a meal
Jews build temporary huts for this holy day.,Sukkot,Hannukah,Yom Kippur,Sukkot,Rosh Hashannah
What does the Hebrew expression Mazel Tov mean?,Good luck,Have a great day,Have an easy fast,Sorry,Good luck
"Judaism divides The Old Testament into three parts, called this in English.","Torah, Prophets, Wisdom Literature","Torah, Pentatuch, Prophets","Torah, Histories, Pentatuch","Torah, Prophets, Wisdom Literature","Torah, Chronicles, Major Prophets"
In what book of The New Testament was John the Baptist beheaded?,Matthew,John,Luke,Mark,Matthew
How many books are in the New Testament?,27,25,27,20,31
Which of the laws in  the Ten Commandments of the New Testament is conceived to be the greatest one?,"Love the Lord with all your heart, soul and mind",Honor your father and your mother,You shall not steal,"Love the Lord with all your heart, soul and mind",Love your neighbor as yourself
What is the third book of the New Testament?,Luke,Mark,Matthew,Jonh,Luke
"What did Jesus do to the man with leprosy, according to The New Testament?",touched him and cured him,ignored him,gave him medicine,prayed for him,touched him and cured him
In which book of The New Testament is the following passage found Ask and it will be given to you;seek and you will find;knock and the door will be opened to you?,Matthew,Psalms,Matthew,Acts,Luke
What was the name of Abrahams wife according to the book of Genesis?,Sarah,Rebekah,Rachel,Leah,Sarah
"In the book of Genesis, how old was Abraham when Isaac was born?",100 years old,101 years old,95 years old,100 years old,99 years old
What was the name of Isaacs wife according to the book of Genesis?,Rebekah,Leah,Rachel,Sarah,Rebekah
"The book of Genesis tells that when Esau and Jacob were born, Jacob grabbed hold of what?",Esaus heel,Esaus hand,Esaus hair,Esaus heel,Esaus food
"According to the Torah, what did Esau trade his birthright with Jacob for?",Bread and lentil stew,Bread and wild game,Bread and vegetables,Bread and lentil stew,Manna
Who was Jacobs first wife in the book of Genesis?,Leah,Leah,Sarah,Rebekah,Rachel
How many years did Jacob have to work for each of his wives according to the Torah?,7 years each,3 years each,7 years each,1 year each,14 years each
